,CAS-ID,Compound Names,Smiles from CAS IDs,predicted_pIC50_cas_values,distance_to_ensemble_models_for_cas_compounds
46,2243106-01-4,"L-Alanine, N-[[[(1R)-2-(6-amino-9H-purin-9-yl)-1-methylethoxy]methyl]phenoxyphosphinyl]-, cyclobutyl ester",Not available,-0.8224159211836951,0.21932792191599665
47,1184942-48-0,"5,8-Dioxa-3-aza-4-phosphanonanoic acid, 9-(2-amino-1,6-dihydro-6-oxo-9H-purin-9-yl)-2-methyl-4-phenoxy-, 1-methylethyl ester, 4-oxide, (2S)-",Not available,-0.8249841564437694,0.1550972349827025
48,1985607-02-0,"Carbonic acid, [[(12aR)-12-[(11S)-7,8-difluoro-6,11-dihydrodibenzo[b,e]thiepin-11-yl]-3,4,6,8,12,12a-hexahydro-6,8-dioxo-1H-[1,4]oxazino[3,4-c]pyrido[2,1-f][1,2,4]triazin-7-yl]oxy]methyl (3R)-tetrahydro-4,4-dimethyl-2-oxo-3-furanyl ester",Not available,-0.8251117561027167,0.24437532039403348
49,2364589-90-0,"Carbonic acid, [[(12Ã¢â‚¬Â²aR)-12Ã¢â‚¬Â²-[(11S)-7-fluoro-6,11-dihydrodibenzo[b,e]thiepin-11-yl]-12Ã¢â‚¬Â²,12Ã¢â‚¬Â²a-dihydro-6Ã¢â‚¬Â²,8Ã¢â‚¬Â²-dioxospiro[cyclopropane-1,3Ã¢â‚¬Â²(4Ã¢â‚¬Â²H)-[1H][1,4]oxazino[3,4-c]pyrido[2,1-f][1,2,4]triazin]-7Ã¢â‚¬Â²-yl]oxy]methyl methyl ester",Not available,-0.8266981049762218,0.257090399076624
50,72687-19-5,"5Ã¢â‚¬Â²-Thymidylic acid, ÃŽÂ±-(methylthio)-",Not available,-0.8277141114181139,0.22539018600961963
51,1453350-73-6,"2,7,10,12-Tetraazatridecanoic acid, 12-methyl-13-[2-(1-methylethyl)-4-thiazolyl]-9-[2-(4-morpholinyl)ethyl]-8,11-dioxo-3,6-bis(phenylmethyl)-, 5-thiazolylmethyl ester, (3R,6R,9S)-, compd. with 1,2-benzisothiazol-3(2H)-one 1,1-dioxide (1:?)",Not available,-0.830796017100104,0.2708156426295493
52,612485-40-2,"3-Furancarbonitrile, 5-(3,4-dihydro-5-methyl-2,4-dioxo-1(2H)-pyrimidinyl)-2,5-dihydro-2-(hydroxymethyl)-, (2R,5S)-",Not available,-0.8327313954436415,0.289095436292673
53,103025-08-7,"6H-Purin-6-one, 2-amino-9-[[2-(cyclopentyloxy)-1-(hydroxymethyl)ethoxy]methyl]-1,9-dihydro-",Not available,-0.8329980460129799,0.29447881619843314
54,890312-32-0,"Benzoic acid, 2-[(3-nitrobenzoyl)amino]-4-(2-phenylethyl)-",Not available,-0.8329980460129799,0.29447881619843314
55,1208118-97-1,"Cyclopenta[c]pyrrole-1-carboxamide, 2-[(2S)-2-[[(2S)-2-cyclohexyl-2-[(2-pyrazinylcarbonyl)amino]acetyl]amino]-7-methyl-1,5-dioxo-6-octen-1-yl]-N-[(1S)-1-[2-(cyclopropylamino)-2-oxoacetyl]butyl]octahydro-, (1S,3aR,6aS)-",Not available,-0.8341717992859881,0.2643443033467836
